2023-11-07 12:46:14 DEBUG Log4jExample:10 - DEBUG!
2023-11-07 12:46:14 INFO  Log4jExample:11 - INFO!!
2023-11-07 12:46:14 WARN  Log4jExample:12 - WARNING!!!
2023-11-07 12:46:14 FATAL Log4jExample:13 - FATAL!!!!
2023-11-12 12:22:38 INFO  Main:11 - Game Ended
2023-11-12 12:54:18 INFO  Player:106 - Buy Sucessful
2023-11-12 12:54:18 INFO  Player:83 - Sell Sucessful
2023-11-12 12:54:19 INFO  Player:106 - Buy Sucessful
2023-11-12 12:54:19 INFO  Player:83 - Sell Sucessful
2023-11-12 12:54:20 INFO  Game:22 - Game Started
2023-11-12 12:54:32 INFO  Player:106 - Buy Sucessful
2023-11-12 12:54:47 INFO  Player:83 - Sell Sucessful
2023-11-12 12:55:20 INFO  Player:106 - Buy Sucessful
2023-11-12 12:55:25 INFO  Player:106 - Buy Sucessful
2023-11-12 12:55:30 INFO  Player:106 - Buy Sucessful
2023-11-12 12:55:40 WARN  Player:109 - Buy Cancelled
2023-11-12 12:55:56 INFO  Player:83 - Sell Sucessful
2023-11-12 12:56:18 INFO  Main:11 - Game Ended
2023-11-12 12:59:03 INFO  Player:106 - Buy Sucessful
2023-11-12 12:59:03 INFO  Player:83 - Sell Sucessful
2023-11-12 12:59:04 INFO  Player:106 - Buy Sucessful
2023-11-12 12:59:04 INFO  Player:83 - Sell Sucessful
2023-11-12 12:59:06 INFO  Game:22 - Game Started
2023-11-12 12:59:08 INFO  Main:11 - Game Ended
